-150.0000     3.9650
-175.0000     3.9917
-200.0000     3.9380
-300.0000     3.8420
2012/12/16 12:00:00  18 2
  -0.0000     6.1735
  -5.0000     6.1732
 -10.0000     6.1741
 -14.0000     6.1748
 -17.0000     6.1753
 -20.0000     6.1758
 -25.0000     6.1729
 -30.0000     6.1742
 -37.0000     6.1790
 -45.0000     6.1752
 -60.0000     6.1694
 -80.0000     5.4174
-100.0000     4.7355
-120.0000     4.0229
-150.0000     3.8939
-175.0000     3.8287
-200.0000     3.7642
-300.0000     3.8171
2013/01/16 12:00:00  18 2
  -0.0000     5.3732
  -5.0000     5.3703
 -10.0000     5.3698
 -14.0000     5.3694
 -17.0000     5.3697
 -20.0000     5.3700
 -25.0000     5.3661
 -30.0000     5.3661
 -37.0000     5.3677
 -45.0000     5.3642
 -60.0000     5.3613
 -80.0000     5.3510
-100.0000     5.3210
-120.0000     4.7119
-150.0000     3.8745
-175.0000     3.8255
-200.0000     3.7535
-300.0000     3.7519
2013/02/15 12:00:00  18 2
  -0.0000     5.3329
  -5.0000     5.3318
 -10.0000     5.3318
 -14.0000     5.3318
 -17.0000     5.3318
 -20.0000     5.3318
 -25.0000     5.3282
 -30.0000     5.3289
 -37.0000     5.3336
 -45.0000     5.3293
 -60.0000     5.3296
 -80.0000     5.3121
-100.0000     5.2332
-120.0000     4.7039
-150.0000     3.9232
-175.0000     3.8618
-200.0000     3.7989
-300.0000     3.7804
2013/03/16 12:00:00  18 2
  -0.0000     5.1587
  -5.0000     5.1506
 -10.0000     5.1426
 -14.0000     5.1361
 -17.0000     5.1315
 -20.0000     5.1268
 -25.0000     5.1181
 -30.0000     5.1119
 -37.0000     5.1081
 -45.0000     5.0932
 -60.0000     5.0710
 -80.0000     5.0329
-100.0000     4.9932
-120.0000     4.8823
-150.0000     3.9842
-175.0000     3.7687
-200.0000     3.7081
-300.0000     3.7332
2013/04/16 12:00:00  18 2
  -0.0000     5.8830
  -5.0000     5.8667
 -10.0000     5.8472
 -14.0000     5.8317
 -17.0000     5.8123
 -20.0000     5.7930
 -25.0000     5.7457
 -30.0000     5.6940
 -37.0000     5.6283
 -45.0000     5.5120
 -60.0000     5.3297
 -80.0000     5.1573
-100.0000     4.9420
-120.0000     4.7630
-150.0000     4.1260
-175.0000     3.8460
-200.0000     3.7540
-300.0000     3.7260
2013/05/16 12:00:00  18 2
  -0.0000     7.6365
  -5.0000     7.6135
 -10.0000     7.5809
 -14.0000     7.5548
 -17.0000     7.5190
 -20.0000     7.4832
 -25.0000     7.3629
 -30.0000     7.1261
 -37.0000     6.5713
 -45.0000     5.9694
 -60.0000     5.4790
 -80.0000     5.1558
-100.0000     4.8497
-120.0000     4.6332
-150.0000     4.2461
-175.0000     3.9032
-200.0000     3.7932
-300.0000     3.7829
2013/06/16 12:00:00  18 2
  -0.0000     9.5013
  -5.0000     9.4357
 -10.0000     9.3442
 -14.0000     9.2710
 -17.0000     9.1850
 -20.0000     9.0990
 -25.0000     8.9303
 -30.0000     8.7233
 -37.0000     7.9776
 -45.0000     6.6547
 -60.0000     5.3993
 -80.0000     5.0710
-100.0000     4.7883
-120.0000     4.6003
-150.0000     4.1303
-175.0000     3.8583
