-100.  32.8980293
-120.  33.2192879
-150.  33.5467758
-200.  33.7078743
2014/11/16 12:00:00  14 2
 0.  32.4238358
-10.  32.4256973
-14.  32.4252182
-20.  32.4244995
-25.  32.4242287
-30.  32.4273338
-37.  32.4280968
-45.  32.4422317
-60.  32.4687347
-80.  32.7764969
-100.  33.0159340
-120.  33.2884331
-150.  33.5640984
-200.  33.7125320
2014/12/16 12:00:00  14 2
 0.  32.4681625
-10.  32.4718399
-14.  32.4718796
-20.  32.4719391
-25.  32.4716454
-30.  32.4752922
-37.  32.4762268
-45.  32.4853582
-60.  32.5024796
-80.  32.8766098
-100.  33.1812592
-120.  33.4150925
-150.  33.6111603
-200.  33.7224464
2015/01/16 12:00:00  14 2
 0.  32.4825783
-10.  32.4853859
-14.  32.4854897
-20.  32.4856453
-25.  32.4844818
-30.  32.4877434
-37.  32.4877090
-45.  32.4881588
-60.  32.4890022
-80.  32.7683563
-100.  33.2543869
-120.  33.4897118
-150.  33.6464806
-200.  33.7455826
2015/02/15 12:00:00  14 2
 0.  32.5037575
-10.  32.5074234
-14.  32.5083099
-20.  32.5096397
-25.  32.5083580
-30.  32.5118942
-37.  32.5121803
-45.  32.5129499
-60.  32.5143929
-80.  32.6094627
-100.  33.2295341
-120.  33.4855728
-150.  33.6462860
-200.  33.7384682
2015/03/16 12:00:00  14 2
 0.  32.4994164
-10.  32.4971962
-14.  32.4980461
-20.  32.4993210
-25.  32.4979668
-30.  32.5019073
-37.  32.5024567
-45.  32.5068300
-60.  32.5150299
-80.  32.8341331
-100.  33.3609390
-120.  33.5490685
-150.  33.6740952
-200.  33.7526131
2015/04/16 12:00:00  14 2
 0.  32.5520325
-10.  32.5477638
-14.  32.5488304
-20.  32.5504303
-25.  32.5475960
-30.  32.5506630
-37.  32.5495338
-45.  32.5495232
-60.  32.5495033
-80.  32.6576309
-100.  33.3280296
-120.  33.5490685
-150.  33.6717644
-200.  33.7513657
2015/05/16 12:00:00  14 2
 0.  32.5573578
-10.  32.5500641
-14.  32.5559219
-20.  32.5647087
-25.  32.5646477
-30.  32.5687141
-37.  32.5712242
-45.  32.5758018
-60.  32.5843849
-80.  32.6649055
