  35.0000     5.7473
  36.0000     5.7476
  37.0000     5.7478
  45.0000     5.7486
  60.0000     5.7481
  80.0000     5.7340
 100.0000     5.1945
 120.0000     4.8478
 150.0000     4.4945
 175.0000     4.2687
 200.0000     4.1286
2011/03/16 02:00:00  22 2
   1.0000     5.2951
   5.0000     5.2948
   8.0000     5.2938
  10.0000     5.2931
  14.0000     5.2912
  15.0000     5.2907
  17.0000     5.2897
  20.0000     5.2885
  25.0000     5.2862
  30.0000     5.2835
  32.0000     5.2829
  35.0000     5.2820
  36.0000     5.2817
  37.0000     5.2814
  45.0000     5.2782
  60.0000     5.2738
  80.0000     5.2675
 100.0000     5.2156
 120.0000     4.8820
 150.0000     4.5198
 175.0000     4.2780
 200.0000     4.1183
2011/04/16 02:00:00  22 2
   1.0000     5.6496
   5.0000     5.6293
   8.0000     5.6160
  10.0000     5.6072
  14.0000     5.5780
  15.0000     5.5706
  17.0000     5.5560
  20.0000     5.5378
  25.0000     5.5107
  30.0000     5.4937
  32.0000     5.4885
  35.0000     5.4807
  36.0000     5.4781
  37.0000     5.4755
  45.0000     5.4519
  60.0000     5.4247
  80.0000     5.4005
 100.0000     5.2530
 120.0000     4.8104
 150.0000     4.4912
 175.0000     4.2873
 200.0000     4.1653
2011/05/16 02:00:00  22 2
   1.0000     6.5189
   5.0000     6.5015
   8.0000     6.4887
  10.0000     6.4801
  14.0000     6.4680
  15.0000     6.4649
  17.0000     6.4589
  20.0000     6.4528
  25.0000     6.4353
  30.0000     6.4168
  32.0000     6.4043
  35.0000     6.3855
  36.0000     6.3793
  37.0000     6.3730
  45.0000     6.2904
  60.0000     5.9545
  80.0000     5.3909
 100.0000     5.1857
 120.0000     4.7815
 150.0000     4.4599
 175.0000     4.2474
 200.0000     4.1251
2011/06/16 02:00:00  22 2
   1.0000     8.3722
   5.0000     8.3308
   8.0000     8.3087
  10.0000     8.2940
  14.0000     8.6652
  15.0000     8.5713
  17.0000     8.3833
  20.0000     8.1014
  25.0000     7.9379
  30.0000     7.7642
  32.0000     7.6423
  35.0000     7.4595
  36.0000     7.3985
  37.0000     7.3376
  45.0000     6.7764
  60.0000     5.8305
  80.0000     5.1440
 100.0000     4.9666
 120.0000     4.8145
 150.0000     4.4389
 175.0000     4.2297
 200.0000     4.1237
2011/07/16 02:00:00  22 2
   1.0000    10.2818
   5.0000    10.2617
   8.0000    10.2306
  10.0000    10.2098
  14.0000    10.1810
  15.0000    10.1723
  17.0000    10.1550
  20.0000    10.1290
  25.0000    10.0572
  30.0000     9.7364
  32.0000     9.3317
  35.0000     8.7246
  36.0000     8.5222
  37.0000     8.3199
  45.0000     7.0015
  60.0000     5.8726
  80.0000     4.9248
 100.0000     4.7247
 120.0000     4.6980
 150.0000     4.4367
